YEAR,humidity,tavg,tmax,tmin,district,rainfall,wind,climate_source,distance_km
1981,67.92,20.15,36.8,4.5,Kasungu,2.65,2.49,,
1982,75.58,19.67,34.35,5.16,Kasungu,4.69,2.38,,
1983,68.67,21.14,36.77,6.88,Kasungu,3.86,2.35,,
1984,73.49,19.85,33.79,6.99,Kasungu,4.47,2.37,,
1985,75.35,19.36,35.95,4.44,Kasungu,3.96,2.4,,
1986,73.16,19.69,35.3,5.65,Kasungu,4.59,2.36,,
1987,68.92,20.63,35.93,5.85,Kasungu,3.24,2.31,,
1988,71.18,20.53,35.07,7.16,Kasungu,3.58,2.46,,
1989,74.86,19.74,35.67,6.48,Kasungu,4.45,2.42,,
1990,67.01,20.7,36.46,7.76,Kasungu,2.9,2.48,,
1991,66.89,20.72,34.51,6.34,Kasungu,3.35,2.39,,
1992,62.21,21.43,35.1,7.79,Kasungu,2.86,2.41,,
1993,71.98,20.16,36.06,5.82,Kasungu,3.89,2.39,,
1994,63.56,20.93,37.55,6.19,Kasungu,2.67,2.48,,
1995,63.07,21.27,36.98,6.98,Kasungu,2.88,2.49,,
1996,68.96,20.49,35.68,5.82,Kasungu,3.38,2.41,,
1997,72.43,20.43,36.82,7.27,Kasungu,2.9,2.52,,
1998,59.99,22.05,35.87,8.08,Kasungu,2.12,2.63,,
1999,72.58,20.2,35.53,5.45,Kasungu,3.32,2.56,,
2000,67.52,20.91,34.78,8.24,Kasungu,2.6,2.46,,
2001,66.35,20.99,35.43,6.36,Kasungu,2.8,2.39,,
2002,65.77,21.28,35.95,6.13,Kasungu,2.6,2.42,,
2003,66.91,21.14,36.37,7.41,Kasungu,2.89,2.25,,
2004,69.58,20.87,36.17,7.98,Kasungu,3.51,2.4,,
2005,62.54,21.61,36.39,7.91,Kasungu,1.88,2.38,,
2006,68.63,20.91,36.65,6.73,Kasungu,2.93,2.31,,
2007,68.81,20.98,36.25,7.0,Kasungu,2.77,2.36,,
2008,65.31,20.93,36.21,6.61,Kasungu,2.56,2.29,,
2009,69.7,20.62,34.83,7.42,Kasungu,2.83,2.23,,
2010,66.81,21.44,36.61,7.58,Kasungu,3.25,2.4,,
2011,68.43,20.81,38.14,6.81,Kasungu,2.61,2.16,,
2012,66.35,21.21,36.41,5.95,Kasungu,3.07,2.22,,
2013,65.2,21.28,36.76,8.17,Kasungu,3.37,2.31,,
2014,70.15,20.81,37.91,6.65,Kasungu,3.68,2.29,,
2015,65.73,21.6,38.07,8.2,Kasungu,1.75,2.37,,
2016,62.25,22.04,36.69,8.43,Kasungu,2.27,2.4,,
2017,67.81,21.39,38.44,8.73,Kasungu,2.7,2.42,,
2018,69.74,21.0,36.11,6.06,Kasungu,3.36,2.39,,
2019,71.8,20.96,37.69,6.59,Kasungu,3.62,2.32,,
2020,70.76,21.01,36.09,6.92,Kasungu,3.93,2.33,,
2021,70.47,20.82,36.83,7.06,Kasungu,3.07,2.39,,
2022,74.59,20.22,35.4,7.54,Kasungu,4.48,2.23,,
2023,72.25,21.14,37.06,7.02,Kasungu,3.3,2.26,,
2024,66.93,21.64,35.9,6.79,Kasungu,4.22,2.29,,
2025,67.29,21.54,36.46,7.21,Kasungu,2.89,2.42,,
1981,71.56,19.1,35.71,4.32,Lilongwe,2.65,2.49,,
1982,76.71,18.89,32.85,4.88,Lilongwe,4.69,2.38,,
1983,71.51,20.17,35.51,6.13,Lilongwe,3.86,2.35,,
1984,76.08,19.01,32.78,6.58,Lilongwe,4.47,2.37,,
1985,76.97,18.66,34.57,3.57,Lilongwe,3.96,2.4,,
1986,75.96,18.79,33.64,5.23,Lilongwe,4.59,2.36,,
1987,71.51,19.72,34.76,5.47,Lilongwe,3.24,2.31,,
1988,73.89,19.6,33.4,6.12,Lilongwe,3.58,2.46,,
1989,76.31,18.99,34.95,6.22,Lilongwe,4.45,2.42,,
1990,69.21,19.88,35.07,6.98,Lilongwe,2.9,2.48,,
1991,69.87,19.73,33.1,5.87,Lilongwe,3.35,2.39,,
1992,64.55,20.53,34.55,6.4,Lilongwe,2.86,2.41,,
1993,73.08,19.51,35.03,6.08,Lilongwe,3.89,2.39,,
1994,64.87,20.18,35.72,6.35,Lilongwe,2.67,2.48,,
1995,66.58,20.24,35.21,6.02,Lilongwe,2.88,2.49,,
1996,71.33,19.63,34.83,5.65,Lilongwe,3.38,2.41,,
1997,74.2,19.65,35.56,6.74,Lilongwe,2.9,2.52,,
1998,64.16,20.94,34.44,7.53,Lilongwe,2.12,2.63,,
1999,75.77,19.26,34.09,4.95,Lilongwe,3.32,2.56,,
2000,70.65,20.01,33.82,7.71,Lilongwe,2.6,2.46,,
2001,69.51,20.05,34.08,5.55,Lilongwe,2.8,2.39,,
2002,68.43,20.35,34.8,5.81,Lilongwe,2.6,2.42,,
2003,70.57,20.11,34.86,7.18,Lilongwe,2.89,2.25,,
2004,72.67,19.9,34.49,7.28,Lilongwe,3.51,2.4,,
2005,65.98,20.63,35.23,6.91,Lilongwe,1.88,2.38,,
2006,71.83,19.96,35.17,5.38,Lilongwe,2.93,2.31,,
2007,69.81,20.34,35.6,6.98,Lilongwe,2.77,2.36,,
2008,68.07,20.02,35.45,6.16,Lilongwe,2.56,2.29,,
2009,70.98,19.94,34.65,6.84,Lilongwe,2.83,2.23,,
2010,69.72,20.52,35.53,6.66,Lilongwe,3.25,2.4,,
2011,70.74,19.98,36.99,6.19,Lilongwe,2.61,2.16,,
2012,68.86,20.31,35.07,4.97,Lilongwe,3.07,2.22,,
2013,68.41,20.29,35.51,7.41,Lilongwe,3.37,2.31,,
2014,70.53,20.23,36.56,7.02,Lilongwe,3.68,2.29,,
2015,67.98,20.68,36.32,7.41,Lilongwe,1.75,2.37,,
2016,66.43,20.93,35.54,7.94,Lilongwe,2.27,2.4,,
2017,71.7,20.28,37.03,7.83,Lilongwe,2.7,2.42,,
2018,71.05,20.29,35.15,5.41,Lilongwe,3.36,2.39,,
2019,73.52,20.19,35.84,5.67,Lilongwe,3.62,2.32,,
2020,71.56,20.32,35.16,6.76,Lilongwe,3.93,2.33,,
2021,72.2,20.03,35.5,6.84,Lilongwe,3.07,2.39,,
2022,75.12,19.66,34.57,7.01,Lilongwe,4.48,2.23,,
2023,74.17,20.36,35.64,6.61,Lilongwe,3.3,2.26,,
2024,70.23,20.6,34.4,5.97,Lilongwe,4.22,2.29,,
2025,72.29,20.28,34.9,5.95,Lilongwe,2.89,2.42,,
1981,67.5,20.27,37.58,4.57,Mchinji,2.65,2.49,,
1982,73.68,19.92,35.3,5.44,Mchinji,4.69,2.38,,
1983,65.78,21.6,37.96,6.96,Mchinji,3.86,2.35,,
1984,71.65,20.21,34.96,6.68,Mchinji,4.47,2.37,,
1985,74.54,19.55,36.95,3.67,Mchinji,3.96,2.4,,
1986,72.26,19.88,35.92,5.37,Mchinji,4.59,2.36,,
1987,66.13,21.08,36.72,6.03,Mchinji,3.24,2.31,,
1988,70.0,20.76,36.01,6.52,Mchinji,3.58,2.46,,
1989,73.44,19.98,37.29,6.41,Mchinji,4.45,2.42,,
1990,65.26,21.03,37.36,7.71,Mchinji,2.9,2.48,,
1991,64.8,21.07,35.32,6.31,Mchinji,3.35,2.39,,
1992,58.1,22.09,37.44,7.24,Mchinji,2.86,2.41,,
1993,69.27,20.63,36.93,6.31,Mchinji,3.89,2.39,,
1994,60.58,21.42,38.43,6.61,Mchinji,2.67,2.48,,
1995,60.97,21.62,37.14,6.89,Mchinji,2.88,2.49,,
1996,67.54,20.78,36.94,5.68,Mchinji,3.38,2.41,,
1997,71.77,20.57,37.76,7.74,Mchinji,2.9,2.52,,
1998,58.65,22.34,36.79,8.33,Mchinji,2.12,2.63,,
1999,71.48,20.43,36.42,5.73,Mchinji,3.32,2.56,,
2000,66.02,21.25,35.74,8.18,Mchinji,2.6,2.46,,
2001,65.14,21.26,36.15,5.94,Mchinji,2.8,2.39,,
2002,62.68,21.74,36.81,6.67,Mchinji,2.6,2.42,,
2003,65.78,21.33,37.19,7.44,Mchinji,2.89,2.25,,
2004,67.86,21.15,37.13,7.74,Mchinji,3.51,2.4,,
2005,61.08,21.93,37.18,7.49,Mchinji,1.88,2.38,,
2006,67.98,21.09,37.31,6.08,Mchinji,2.93,2.31,,
2007,66.54,21.36,36.95,7.46,Mchinji,2.77,2.36,,
2008,63.97,21.17,37.4,6.87,Mchinji,2.56,2.29,,
2009,67.99,20.92,36.22,7.35,Mchinji,2.83,2.23,,
2010,64.97,21.82,37.75,7.44,Mchinji,3.25,2.4,,
2011,67.03,21.05,38.87,6.71,Mchinji,2.61,2.16,,
2012,64.55,21.55,37.41,5.85,Mchinji,3.07,2.22,,
2013,63.59,21.58,37.82,8.01,Mchinji,3.37,2.31,,
2014,67.83,21.23,38.5,6.64,Mchinji,3.68,2.29,,
2015,64.77,21.76,38.99,7.97,Mchinji,1.75,2.37,,
2016,60.37,22.44,37.77,8.79,Mchinji,2.27,2.4,,
2017,69.23,21.24,39.36,8.2,Mchinji,2.7,2.42,,
2018,68.17,21.29,37.17,5.84,Mchinji,3.36,2.39,,
2019,71.62,21.02,38.47,6.33,Mchinji,3.62,2.32,,
2020,69.06,21.25,37.23,6.08,Mchinji,3.93,2.33,,
2021,69.88,20.97,37.74,7.26,Mchinji,3.07,2.39,,
2022,73.3,20.52,36.43,7.33,Mchinji,4.48,2.23,,
2023,72.2,21.23,38.69,7.07,Mchinji,3.3,2.26,,
2024,66.18,21.77,36.95,6.12,Mchinji,4.22,2.29,,
2025,69.02,21.35,36.87,6.78,Mchinji,2.89,2.42,,
1981,65.17,22.45,35.17,9.44,Chitipa,3.4,2.9,,
1982,71.07,22.14,33.96,9.32,Chitipa,5.28,2.82,,
1983,67.54,22.94,36.16,11.45,Chitipa,3.64,2.93,,
1984,70.82,21.74,33.88,11.54,Chitipa,5.74,2.87,,
1985,70.08,21.64,35.03,9.93,Chitipa,5.32,2.83,,
1986,69.97,21.73,34.23,9.91,Chitipa,5.01,2.89,,
1987,68.42,22.49,34.85,9.93,Chitipa,3.92,2.76,,
1988,66.72,22.9,34.71,11.68,Chitipa,3.9,2.89,,
1989,70.89,21.8,34.86,10.54,Chitipa,4.75,2.83,,
1990,65.98,22.57,36.42,11.21,Chitipa,3.18,2.99,,
1991,67.61,22.44,35.21,9.91,Chitipa,3.76,2.86,,
1992,65.35,22.65,34.81,10.19,Chitipa,2.77,2.96,,
1993,67.11,22.29,36.04,10.06,Chitipa,3.62,3.0,,
1994,66.3,22.49,36.22,10.63,Chitipa,3.44,2.92,,
1995,66.61,22.47,36.02,10.82,Chitipa,3.25,2.96,,
1996,67.78,22.26,35.56,9.43,Chitipa,4.05,2.8,,
1997,69.76,22.4,36.08,10.6,Chitipa,3.36,2.98,,
1998,62.59,23.55,35.61,11.64,Chitipa,1.94,3.04,,
1999,67.87,22.4,35.54,10.78,Chitipa,3.59,3.01,,
2000,63.95,22.91,34.76,11.1,Chitipa,2.48,2.87,,
2001,63.52,23.04,36.25,11.5,Chitipa,2.27,2.83,,
2002,65.47,23.03,35.21,11.0,Chitipa,2.86,2.91,,
2003,64.78,23.21,35.65,10.69,Chitipa,2.8,2.65,,
2004,67.62,22.77,35.49,10.8,Chitipa,3.15,2.87,,
2005,64.36,23.32,35.8,11.51,Chitipa,2.03,2.81,,
2006,68.78,22.74,35.62,10.19,Chitipa,4.34,2.66,,
2007,69.14,22.65,35.99,10.91,Chitipa,4.02,2.68,,
2008,67.59,22.45,35.55,10.47,Chitipa,3.22,2.62,,
2009,67.92,22.68,34.47,11.25,Chitipa,3.39,2.62,,
2010,67.19,22.94,35.44,10.42,Chitipa,3.19,2.74,,
2011,69.09,22.59,35.97,11.11,Chitipa,3.55,2.48,,
2012,66.7,22.83,35.51,10.92,Chitipa,3.35,2.55,,
2013,65.52,23.13,36.54,11.82,Chitipa,3.34,2.76,,
2014,70.07,22.7,35.24,10.81,Chitipa,3.92,2.65,,
2015,67.53,23.14,36.0,12.55,Chitipa,3.07,2.69,,
2016,68.56,22.78,35.2,11.06,Chitipa,3.8,2.68,,
2017,70.67,22.67,35.77,12.3,Chitipa,4.47,2.59,,
2018,71.55,22.38,34.57,10.77,Chitipa,4.11,2.69,,
2019,71.37,22.85,37.13,11.61,Chitipa,3.92,2.58,,
2020,73.18,22.42,34.66,11.26,Chitipa,5.01,2.57,,
2021,70.43,22.45,35.6,10.53,Chitipa,3.37,2.79,,
2022,71.03,22.25,34.46,11.94,Chitipa,5.05,2.6,,
2023,70.24,23.09,35.83,11.44,Chitipa,3.65,2.62,,
2024,68.91,23.21,35.39,11.46,Chitipa,3.25,2.64,,
2025,69.67,22.83,34.94,10.8,Chitipa,4.94,2.71,,
1981,59.08,25.96,34.7,16.63,Likoma,3.4,2.9,,
1982,63.11,25.77,33.18,16.93,Likoma,5.28,2.82,,
1983,61.2,26.51,35.15,18.27,Likoma,3.64,2.93,,
1984,62.27,25.62,33.88,18.52,Likoma,5.74,2.87,,
1985,61.5,25.57,34.45,18.12,Likoma,5.32,2.83,,
1986,61.23,25.68,34.07,17.86,Likoma,5.01,2.89,,
1987,59.88,26.27,34.53,15.85,Likoma,3.92,2.76,,
1988,59.8,26.57,34.33,19.03,Likoma,3.9,2.89,,
1989,62.98,25.56,33.95,17.61,Likoma,4.75,2.83,,
1990,58.61,26.44,35.69,18.35,Likoma,3.18,2.99,,
1991,60.75,26.07,34.71,17.45,Likoma,3.76,2.86,,
1992,58.61,26.49,34.4,17.71,Likoma,2.77,2.96,,
1993,60.18,26.1,34.74,17.19,Likoma,3.62,3.0,,
1994,58.93,26.26,34.28,17.68,Likoma,3.44,2.92,,
1995,59.17,26.32,34.86,17.99,Likoma,3.25,2.96,,
1996,60.45,26.01,34.86,17.26,Likoma,4.05,2.8,,
1997,62.51,26.07,35.33,18.2,Likoma,3.36,2.98,,
1998,58.25,27.03,34.31,19.23,Likoma,1.94,3.04,,
1999,62.32,25.86,34.54,18.25,Likoma,3.59,3.01,,
2000,60.4,26.33,34.17,18.48,Likoma,2.48,2.87,,
2001,58.87,26.58,35.2,18.75,Likoma,2.27,2.83,,
2002,61.29,26.3,35.15,17.62,Likoma,2.86,2.91,,
2003,60.64,26.54,35.05,16.8,Likoma,2.8,2.65,,
2004,62.66,26.2,34.15,18.11,Likoma,3.15,2.87,,
2005,58.51,26.93,35.89,18.65,Likoma,2.03,2.81,,
2006,62.29,26.26,34.43,17.57,Likoma,4.34,2.66,,
2007,62.15,26.37,34.83,17.67,Likoma,4.02,2.68,,
2008,60.92,26.03,35.32,18.6,Likoma,3.22,2.62,,
2009,61.52,26.19,33.77,17.91,Likoma,3.39,2.62,,
2010,61.35,26.49,35.03,17.28,Likoma,3.19,2.74,,
2011,61.59,26.28,35.79,18.87,Likoma,3.55,2.48,,
2012,60.44,26.44,35.31,19.29,Likoma,3.35,2.55,,
2013,60.32,26.49,35.11,18.47,Likoma,3.34,2.76,,
2014,61.55,26.5,34.76,18.43,Likoma,3.92,2.65,,
2015,61.09,26.66,35.21,19.58,Likoma,3.07,2.69,,
2016,60.17,26.68,34.79,18.23,Likoma,3.8,2.68,,
2017,61.78,26.56,35.69,20.33,Likoma,4.47,2.59,,
2018,62.84,26.18,34.41,17.95,Likoma,4.11,2.69,,
2019,62.51,26.66,35.81,19.14,Likoma,3.92,2.58,,
2020,63.45,26.31,34.19,16.92,Likoma,5.01,2.57,,
2021,61.77,26.19,35.6,17.11,Likoma,3.37,2.79,,
2022,62.89,25.97,33.98,18.97,Likoma,5.05,2.6,,
2023,61.85,26.81,35.22,18.6,Likoma,3.65,2.62,,
2024,60.7,26.97,34.91,18.68,Likoma,3.25,2.64,,
2025,61.53,26.66,34.81,18.08,Likoma,4.94,2.71,,
1981,75.92,18.98,32.58,5.93,Mzimba,3.4,2.9,,
1982,80.73,18.98,29.41,6.58,Mzimba,5.28,2.82,,
1983,79.43,19.56,32.61,7.88,Mzimba,3.64,2.93,,
1984,80.28,18.72,29.23,8.84,Mzimba,5.74,2.87,,
1985,79.9,18.56,30.03,6.8,Mzimba,5.32,2.83,,
1986,79.77,18.67,29.89,6.65,Mzimba,5.01,2.89,,
1987,77.79,19.29,30.98,6.0,Mzimba,3.92,2.76,,
1988,77.83,19.49,30.9,7.3,Mzimba,3.9,2.89,,
1989,80.09,18.87,30.79,7.69,Mzimba,4.75,2.83,,
1990,74.3,19.62,33.36,7.91,Mzimba,3.18,2.99,,
1991,76.94,19.28,31.18,7.86,Mzimba,3.76,2.86,,
1992,73.5,19.8,32.01,7.73,Mzimba,2.77,2.96,,
1993,77.7,19.16,31.13,7.31,Mzimba,3.62,3.0,,
1994,74.55,19.37,33.13,6.32,Mzimba,3.44,2.92,,
1995,75.02,19.5,32.57,6.88,Mzimba,3.25,2.96,,
1996,77.28,19.13,31.83,6.41,Mzimba,4.05,2.8,,
1997,78.78,19.43,32.59,7.95,Mzimba,3.36,2.98,,
1998,70.44,20.54,32.21,7.86,Mzimba,1.94,3.04,,
1999,78.71,19.25,30.93,8.07,Mzimba,3.59,3.01,,
2000,74.71,19.75,30.94,8.42,Mzimba,2.48,2.87,,
2001,73.25,19.89,33.03,8.09,Mzimba,2.27,2.83,,
2002,75.59,19.82,31.81,7.76,Mzimba,2.86,2.91,,
2003,75.22,19.99,32.78,8.41,Mzimba,2.8,2.65,,
2004,77.42,19.71,32.07,7.65,Mzimba,3.15,2.87,,
2005,72.84,20.22,32.69,7.5,Mzimba,2.03,2.81,,
2006,78.26,19.53,31.91,7.32,Mzimba,4.34,2.66,,
2007,78.58,19.58,32.24,7.96,Mzimba,4.02,2.68,,
2008,77.39,19.23,32.36,6.97,Mzimba,3.22,2.62,,
2009,78.09,19.38,29.98,7.22,Mzimba,3.39,2.62,,
2010,77.34,19.82,32.45,8.17,Mzimba,3.19,2.74,,
2011,78.17,19.5,33.27,7.58,Mzimba,3.55,2.48,,
2012,76.69,19.62,31.88,5.29,Mzimba,3.35,2.55,,
2013,75.3,19.79,32.65,8.19,Mzimba,3.34,2.76,,
2014,78.1,19.72,32.3,8.38,Mzimba,3.92,2.65,,
2015,76.25,20.01,33.12,9.12,Mzimba,3.07,2.69,,
2016,76.09,19.9,32.26,8.88,Mzimba,3.8,2.68,,
2017,78.01,19.89,32.83,8.78,Mzimba,4.47,2.59,,
2018,79.67,19.51,31.31,8.21,Mzimba,4.11,2.69,,
2019,78.47,20.02,34.44,8.03,Mzimba,3.92,2.58,,
2020,79.78,19.72,31.71,8.01,Mzimba,5.01,2.57,,
2021,78.48,19.5,33.66,6.9,Mzimba,3.37,2.79,,
2022,80.22,19.22,30.57,9.27,Mzimba,5.05,2.6,,
2023,78.94,20.07,31.85,8.56,Mzimba,3.65,2.62,,
2024,76.67,20.21,32.74,8.17,Mzimba,3.25,2.64,,
2025,78.2,19.87,31.63,8.4,Mzimba,4.94,2.71,,
1981,66.89,22.87,38.79,9.32,Mangochi,3.03,2.08,,
1982,71.16,22.62,36.63,9.51,Mangochi,4.06,1.9,,
1983,65.84,24.06,38.65,10.81,Mangochi,2.85,2.1,,
1984,70.81,22.78,36.76,10.51,Mangochi,4.88,1.97,,
1985,70.31,22.63,37.98,8.46,Mangochi,3.92,2.03,,
1986,70.79,22.54,37.46,9.78,Mangochi,4.53,1.86,,
1987,66.41,23.54,38.04,10.03,Mangochi,2.78,2.06,,
1988,67.43,23.58,37.04,10.79,Mangochi,3.24,2.03,,
1989,70.88,22.72,37.97,10.21,Mangochi,4.1,2.18,,
1990,63.29,23.89,39.01,11.28,Mangochi,2.16,2.17,,
1991,65.74,23.43,37.05,10.4,Mangochi,3.09,2.05,,
1992,59.38,24.47,37.35,10.52,Mangochi,1.81,2.2,,
1993,65.71,23.63,37.48,10.82,Mangochi,2.4,2.01,,
1994,59.67,24.05,38.67,11.24,Mangochi,2.25,2.24,,
1995,62.04,24.04,37.84,10.34,Mangochi,2.83,2.19,,
1996,66.75,23.35,38.82,10.2,Mangochi,3.45,2.13,,
1997,69.51,23.31,39.18,11.4,Mangochi,3.63,2.04,,
1998,60.26,24.68,37.26,11.94,Mangochi,2.29,2.26,,
1999,70.95,23.01,38.05,10.4,Mangochi,3.4,2.1,,
2000,65.37,23.87,37.42,11.85,Mangochi,2.88,2.04,,
2001,63.86,23.96,37.51,10.43,Mangochi,2.96,2.04,,
2002,64.64,23.99,38.34,10.56,Mangochi,2.26,2.11,,
2003,67.05,23.7,37.94,10.74,Mangochi,2.9,2.07,,
2004,68.96,23.45,37.69,10.82,Mangochi,3.31,2.1,,
2005,61.63,24.49,38.93,11.29,Mangochi,2.31,2.07,,
2006,67.16,23.74,38.65,9.71,Mangochi,2.72,2.01,,
2007,65.7,24.03,38.84,11.73,Mangochi,3.3,2.08,,
